1,1,94.08,1.00,220.21,53.74,1,-1,-1,-1
1,2,315.23,1.00,395.20,109.94,1,-1,-1,-1
1,3,53.39,58.56,120.63,61.60,1,-1,-1,-1
2,1,96.00,1.00,219.29,53.87,1,-1,-1,-1
2,2,313.10,1.00,393.98,109.56,1,-1,-1,-1
2,3,37.63,56.79,116.26,59.51,1,-1,-1,-1
3,1,95.06,1.96,220.31,52.65,1,-1,-1,-1
3,2,313.32,1.00,393.61,109.66,1,-1,-1,-1
3,3,20.93,52.85,111.53,57.15,1,-1,-1,-1
4,1,95.92,1.00,219.57,53.61,1,-1,-1,-1
4,2,313.08,1.00,394.49,111.02,1,-1,-1,-1
4,3,1.26,50.65,111.91,54.56,1,-1,-1,-1
5,1,94.43,1.22,219.73,53.02,1,-1,-1,-1
5,2,312.10,1.00,393.93,111.03,1,-1,-1,-1
5,3,1.75,48.94,93.31,52.35,1,-1,-1,-1
6,1,95.76,1.98,220.10,53.86,1,-1,-1,-1
6,2,310.43,1.00,393.70,110.22,1,-1,-1,-1
6,3,1.42,46.74,74.00,51.64,1,-1,-1,-1
7,1,95.42,1.00,218.77,53.52,1,-1,-1,-1
7,2,310.16,1.00,392.92,111.66,1,-1,-1,-1
7,3,1.60,45.17,58.12,46.75,1,-1,-1,-1
8,1,94.00,1.00,219.72,53.77,1,-1,-1,-1
8,2,310.55,1.00,392.70,111.59,1,-1,-1,-1
8,3,1.51,44.44,42.56,44.26,1,-1,-1,-1
9,1,95.04,1.48,218.99,53.93,1,-1,-1,-1
9,2,311.93,1.00,390.80,111.50,1,-1,-1,-1
10,1,93.96,1.00,219.95,52.58,1,-1,-1,-1
10,2,309.15,2.07,391.20,112.08,1,-1,-1,-1
11,1,94.87,1.00,219.58,52.72,1,-1,-1,-1
11,2,309.52,1.00,390.69,111.42,1,-1,-1,-1
11,4,873.39,181.30,85.60,87.29,1,-1,-1,-1
12,1,94.69,1.00,220.09,52.71,1,-1,-1,-1
12,2,311.81,1.00,389.24,110.69,1,-1,-1,-1
12,4,829.18,170.22,130.33,93.71,1,-1,-1,-1
13,1,94.29,1.00,218.83,52.93,1,-1,-1,-1
13,2,312.23,1.30,388.70,110.93,1,-1,-1,-1
13,4,785.36,158.50,173.18,101.30,1,-1,-1,-1
14,1,94.60,2.14,218.29,54.43,1,-1,-1,-1
14,2,311.76,1.72,386.85,111.07,1,-1,-1,-1
14,4,742.49,149.25,215.73,105.76,1,-1,-1,-1
15,1,95.43,1.00,218.28,55.32,1,-1,-1,-1
15,2,310.44,1.82,388.52,110.69,1,-1,-1,-1
15,4,703.87,141.33,235.37,108.48,1,-1,-1,-1
16,1,97.27,1.00,217.13,58.33,1,-1,-1,-1
16,2,310.59,1.00,389.06,111.92,1,-1,-1,-1
16,4,663.97,134.20,256.17,109.96,1,-1,-1,-1
16,5,1.00,167.38,48.38,83.41,1,-1,-1,-1
17,1,96.08,1.30,216.72,57.73,1,-1,-1,-1
17,2,311.52,1.00,389.79,112.17,1,-1,-1,-1
17,4,624.70,127.59,250.22,108.49,1,-1,-1,-1
17,5,1.93,167.58,71.07,96.83,1,-1,-1,-1
18,1,96.15,2.00,218.10,58.43,1,-1,-1,-1
18,2,309.88,1.57,389.83,111.70,1,-1,-1,-1
18,4,586.40,118.51,242.50,106.70,1,-1,-1,-1
18,5,1.00,168.84,90.83,108.06,1,-1,-1,-1
19,1,97.10,1.00,216.63,58.41,1,-1,-1,-1
19,2,311.25,1.21,388.33,112.05,1,-1,-1,-1
19,4,553.43,114.35,234.55,102.69,1,-1,-1,-1
19,5,1.19,171.95,115.32,115.00,1,-1,-1,-1
20,1,96.40,1.91,216.77,57.20,1,-1,-1,-1
20,2,309.94,1.92,389.66,112.87,1,-1,-1,-1
20,4,519.15,107.60,224.48,100.30,1,-1,-1,-1
20,5,1.29,181.73,138.67,118.99,1,-1,-1,-1
21,1,96.63,1.00,217.07,57.93,1,-1,-1,-1
21,2,310.26,1.62,388.30,112.82,1,-1,-1,-1
21,4,486.66,104.05,216.09,95.01,1,-1,-1,-1
21,5,1.10,189.94,161.14,123.66,1,-1,-1,-1
22,1,96.89,1.00,216.92,56.96,1,-1,-1,-1
22,2,309.84,1.00,388.86,112.80,1,-1,-1,-1
22,4,460.81,99.90,207.21,89.49,1,-1,-1,-1
22,5,13.23,196.98,180.52,130.11,1,-1,-1,-1
23,1,96.72,1.00,217.76,57.34,1,-1,-1,-1
23,2,311.06,1.04,389.08,111.04,1,-1,-1,-1
23,4,432.81,96.38,200.89,84.97,1,-1,-1,-1
23,5,23.31,206.37,200.26,137.69,1,-1,-1,-1
24,1,97.27,1.18,217.97,57.18,1,-1,-1,-1
24,2,310.15,1.00,390.11,112.48,1,-1,-1,-1
24,4,404.53,93.89,194.52,80.27,1,-1,-1,-1
24,5,39.89,215.35,215.89,145.64,1,-1,-1,-1
25,1,96.06,1.28,218.19,58.27,1,-1,-1,-1
25,2,309.73,2.07,388.94,112.38,1,-1,-1,-1
25,4,378.68,87.62,188.69,81.14,1,-1,-1,-1
25,5,64.68,226.58,232.12,156.37,1,-1,-1,-1
26,1,96.77,2.15,217.34,56.68,1,-1,-1,-1
26,2,311.51,2.06,389.34,112.50,1,-1,-1,-1
26,4,352.47,81.17,182.92,80.20,1,-1,-1,-1
26,5,89.65,236.75,245.90,165.81,1,-1,-1,-1
27,1,97.20,1.89,216.62,57.97,1,-1,-1,-1
27,2,311.38,1.00,388.45,111.98,1,-1,-1,-1
27,4,331.04,78.61,177.70,77.48,1,-1,-1,-1
27,5,118.48,251.62,265.97,173.17,1,-1,-1,-1
28,1,98.20,1.00,217.66,58.28,1,-1,-1,-1
28,2,311.10,1.59,389.63,111.90,1,-1,-1,-1
28,4,310.45,73.25,172.80,75.57,1,-1,-1,-1
28,5,147.93,263.60,284.99,181.38,1,-1,-1,-1
29,1,97.40,1.07,218.28,57.55,1,-1,-1,-1
29,2,309.69,1.34,389.05,111.05,1,-1,-1,-1
29,4,288.83,69.90,167.89,74.55,1,-1,-1,-1
29,5,182.53,280.57,306.64,193.88,1,-1,-1,-1
30,1,97.70,1.00,217.48,56.95,1,-1,-1,-1
30,2,309.94,1.06,389.05,111.78,1,-1,-1,-1
30,4,270.38,67.84,160.87,72.18,1,-1,-1,-1
30,5,222.32,295.41,331.73,207.62,1,-1,-1,-1
31,1,96.90,1.00,216.57,56.75,1,-1,-1,-1
31,2,310.81,1.00,389.31,111.33,1,-1,-1,-1
31,4,250.95,65.04,156.17,70.06,1,-1,-1,-1
31,5,262.43,313.24,354.70,225.24,1,-1,-1,-1
31,6,815.03,152.26,144.71,88.56,1,-1,-1,-1
32,1,97.40,1.62,217.95,57.95,1,-1,-1,-1
32,2,310.19,1.00,390.23,111.99,1,-1,-1,-1
32,4,233.80,61.53,150.00,68.83,1,-1,-1,-1
32,5,313.01,332.99,370.77,205.09,1,-1,-1,-1
32,6,771.40,144.92,186.58,95.07,1,-1,-1,-1
33,1,97.94,1.61,218.12,58.41,1,-1,-1,-1
33,2,311.39,1.77,390.06,111.70,1,-1,-1,-1
33,4,216.87,60.67,146.91,68.48,1,-1,-1,-1
33,5,365.18,353.03,387.60,186.97,1,-1,-1,-1
33,6,730.58,136.67,228.78,99.94,1,-1,-1,-1
34,1,96.25,1.00,217.41,57.62,1,-1,-1,-1
34,2,309.76,1.00,388.56,111.94,1,-1,-1,-1
34,4,198.18,57.25,140.93,65.91,1,-1,-1,-1
34,5,423.76,373.75,392.18,164.17,1,-1,-1,-1
34,6,692.39,127.09,240.70,102.30,1,-1,-1,-1
35,1,97.26,1.00,218.11,57.85,1,-1,-1,-1
35,2,310.55,1.00,388.84,111.82,1,-1,-1,-1
35,4,183.81,55.97,137.89,63.11,1,-1,-1,-1
35,5,490.78,397.46,381.78,142.12,1,-1,-1,-1
35,6,653.26,118.38,231.93,98.81,1,-1,-1,-1
36,1,96.16,1.00,216.93,56.72,1,-1,-1,-1
36,2,310.91,1.12,389.18,112.28,1,-1,-1,-1
36,4,167.00,53.08,131.87,59.96,1,-1,-1,-1
36,5,555.63,421.52,373.37,117.81,1,-1,-1,-1
36,6,614.38,109.47,222.62,96.14,1,-1,-1,-1
37,1,97.65,1.17,218.01,56.63,1,-1,-1,-1
